response_id,message,response,concern_0_4,action_0_4,appropriateness_0_4,clarity_0_4,notes
r001,"Since the diagnosis conversation, I've felt lost and full of questions.","I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. Good, positive, hopeful, supported, and calm. Good, positive, hopeful, supported, and calm. A good and positive outlook can feel hopeful.",,,,,
r002,I can't easily read the information sheet and I'm worried I'll miss something.,Your feelings are valid. Instructions that are hard to read can make things feel confusing. Ask the clinic for instructions in an accessible format and request a conversation to check your understanding.,,,,,
r003,I'm not sure which team to call about the plan from my last visit.,I understand. That sounds difficult. An unclear follow-up plan can leave you with unanswered questions. Ask the clinic to confirm your contact person and explain how to send questions about the follow-up plan.,,,,,
r004,I left my follow-up without knowing who will answer my remaining questions.,"Your feelings are valid. Good, positive, hopeful, supported, and calm. An unclear follow-up plan can leave you with unanswered questions. Ask the clinic to confirm your contact person and explain how to send questions about the follow-up plan.",,,,,
r005,I'm confused about who to contact with questions after my follow-up visit.,"You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. Good, positive, hopeful, supported, and calm. Good, positive, hopeful, supported, and calm. A good and positive outlook can feel hopeful.",,,,,
r006,I'm confused about who to contact with questions after my follow-up visit.,You deserve support. An unclear follow-up plan can leave you with unanswered questions. Ask the clinic to confirm your contact person and explain how to send questions about the follow-up plan.,,,,,
r007,I left my follow-up without knowing who will answer my remaining questions.,"Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. Good, positive, hopeful, supported, and calm. Good, positive, hopeful, supported, and calm. A good and positive outlook can feel hopeful.",,,,,
r008,I'm not sure which team to call about the plan from my last visit.,"I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. Good, positive, hopeful, supported, and calm. Good, positive, hopeful, supported, and calm. A good and positive outlook can feel hopeful.",,,,,
r009,I'm overwhelmed by a new diagnosis and nervous about the next discussion.,Your feelings are valid. A new diagnosis can leave you feeling overwhelmed. Write down your diagnosis questions and ask your care team to explain the next discussion in plain language.,,,,,
r010,I can't easily read the information sheet and I'm worried I'll miss something.,"Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. Good, positive, hopeful, supported, and calm. Good, positive, hopeful, supported, and calm. A good and positive outlook can feel hopeful.",,,,,
r011,I'm nervous about discussing my recovery with my manager.,"That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Good, positive, hopeful, supported, and calm. Good, positive, hopeful, supported, and calm. A good and positive outlook can feel hopeful.",,,,,
r012,I'm worried my boss won't understand that I have follow-up visits.,"Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. Good, positive, hopeful, supported, and calm. Good, positive, hopeful, supported, and calm. A good and positive outlook can feel hopeful.",,,,,
r013,The written instructions are hard for me to read and I feel embarrassed asking for another format.,"You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. I understand. That sounds difficult. Your feelings are valid. I am here for you. You deserve support. Good, positive, hopeful, supported, and calm. Good, positive, hopeful, supported, and calm. A good and positive outlook can feel hopeful.",,,,,
r014,I'm worried my boss won't understand that I have follow-up visits.,Your feelings are valid. Discussing recovery and appointments at work can feel worrying. List the scheduling support you need and ask your manager for a private conversation about work arrangements.,,,,,
r015,"I need the clinic's information in larger print, but I don't know how to ask.","I understand. Good, positive, hopeful, supported, and calm. Instructions that are hard to read can make things feel confusing. Ask the clinic for instructions in an accessible format and request a conversation to check your understanding.",,,,,
